"","Stratum","AveBiomass"
"1","35",19.1359684210526
"2","14N",13.0985294187059
"3","15N",10.3347806479452
"4","42",1.75277419354839
"5","41",1.38025
"6","6N",1.30917065556712
"7","0",0.8125
"8","44",0.486078260869565
"9","50",0.429603636363636
"10","59",0.335365853658537
"11","57",0.331818181818182
"12","63",0.294308943089431
"13","29",0.291973125270915
"14","43",0.260133333333333
"15","3N",0.237181818181818
"16","14",0.211556634304207
"17","60",0.202564102564103
"18","51",0.192845528455285
"19","4N",0.154030303030303
"20","12N",0.129688073394495
"21","53",0.129411764705882
"22","8N",0.113697247706422
"23","40",0.11067264573991
"24","13N",0.0960391113955556
"25","39",0.0909958158995816
"26","52",0.0617241379310345
"27","65",0.0584404003639672
"28","RIN",0.0435023923444976
"29","62",0.0426086956521739
"30","61",0.0389875130072841
"31","9N",0.0263232323232323
"32","5N",0.0255454545454545
"33","37",0.0254005934718101
"34","7N",0.0253846153846154
"35","38",0.0252090680100756
"36","32",0.0250145772594752
"37","69",0.0209305993690852
"38","BIN",0.0187692307692308
"39","10N",0.0164710743801653
"40","12",0.0142329113924051
"41","54",0.0135593220338983
"42","45",0.0129032258064516
"43","11",0.0127917087967644
"44","34",0.0126721763085399
"45","36",0.00930427493713328
"46","15",0.00792
"47","11N",0.00757824933687003
"48","25",0.00739834024896266
"49","30",0.00702857142857143
"50","6",0.00580357142857143
"51","56",0.00562130177514793
"52","27",0.00467208333333333
"53","33",0.00446
"54","18",0.00289855072463768
"55","16",0.00241791044776119
"56","31",0.00225988700564972
"57","2N",0.00212247585601405
"58","26",0.00197593582887701
"59","55",0.00178571428571429
"60","28",0.00143198090692124
"61","24",0.00110919540229885
"62","1",0.000933333333333333
"63","20",0.00091866028708134
"64","13",0.000871212121212121
"65","5",0.00082034632034632
"66","23",0.000744505494505495
"67","64",0.000709219858156028
"68","73",0.00043956043956044
"69","17",0.000391973868408773
"70","74",0.000308641975308642
"71","2",0.000154655119084442
"72","3",2.8735632183908e-05
"73","1N",1.89125295508274e-05
"74","7",1.86046511627907e-05
"75","10",1.64948453608247e-05
"76","19",0
"77","22",0
"78","4",0
"79","46",0
"80","58",0
"81","66",0
"82","8",0
"83","9",0
"84",NA,0
